Name,Well,Read:450,Read:540,Read:570
DMSO_unstim,A1,0.668,0.053,0.047
5uM_unstim,B1,0.703,0.049,0.043
10uM_unstim,C1,0.76,0.051,0.045
20uM_unstim,D1,0.717,0.051,0.045
50uM_unstim,E1,0.693,0.047,0.041
100uM_unstim,F1,0.65,0.049,0.044
std1,G1,0.174,0.044,0.043
std1,H1,0.168,0.044,0.043
DMSO_unstim,A2,0.602,0.045,0.04
5uM_unstim,B2,0.765,0.051,0.044
10uM_unstim,C2,0.749,0.048,0.042
20uM_unstim,D2,0.746,0.051,0.044
50uM_unstim,E2,0.717,0.049,0.043
100uM_unstim,F2,0.66,0.049,0.043
std2,G2,0.295,0.044,0.042
std2,H2,0.285,0.044,0.042
DMSO_unstim,A3,0.474,0.046,0.042
5uM_unstim,B3,0.706,0.043,0.037
10uM_unstim,C3,0.755,0.048,0.041
20uM_unstim,D3,0.747,0.042,0.036
50uM_unstim,E3,0.702,0.048,0.042
100uM_unstim,F3,0.649,0.045,0.04
std3,G3,0.444,0.043,0.039
std3,H3,0.469,0.045,0.041
DMSO_unstim,A4,0.498,0.056,0.05
5uM_unstim,B4,0.709,0.049,0.042
10uM_unstim,C4,0.729,0.045,0.038
20uM_unstim,D4,0.744,0.049,0.042
50uM_unstim,E4,0.678,0.049,0.044
100uM_unstim,F4,0.661,0.046,0.041
std4,G4,0.722,0.05,0.044
std4,H4,0.678,0.049,0.043
DMSO_unstim,A5,0.476,0.047,0.044
5uM_unstim,B5,0.706,0.05,0.044
10uM_unstim,C5,0.723,0.05,0.044
20uM_unstim,D5,0.739,0.051,0.044
50uM_unstim,E5,0.714,0.047,0.041
100uM_unstim,F5,0.705,0.047,0.041
std5,G5,0.832,0.054,0.047
std5,H5,0.837,0.052,0.045
DMSO_unstim,A6,0.487,0.046,0.042
5uM_unstim,B6,0.68,0.048,0.042
10uM_unstim,C6,0.74,0.05,0.043
20uM_unstim,D6,0.713,0.048,0.042
50uM_unstim,E6,0.699,0.048,0.042
100uM_unstim,F6,0.673,0.049,0.043
std6,G6,0.9,0.051,0.044
std6,H6,0.925,0.05,0.042
DMSO_stim,A7,0.229,0.043,0.042
5uM_stim,B7,0.628,0.039,0.035
10uM_stim,C7,0.713,0.048,0.042
20uM_stim,D7,0.73,0.049,0.043
50uM_stim,E7,0.676,0.047,0.041
100uM_stim,F7,0.648,0.045,0.039
std7,G7,0.946,0.053,0.045
std7,H7,0.929,0.055,0.047
DMSO_stim,A8,0.269,0.045,0.043
5uM_stim,B8,0.672,0.047,0.041
10uM_stim,C8,0.712,0.049,0.043
20uM_stim,D8,0.711,0.048,0.042
50uM_stim,E8,0.699,0.047,0.04
100uM_stim,F8,0.641,0.045,0.039
nsb,G8,0.058,0.038,0.038
nsb,H8,0.055,0.039,0.039
DMSO_stim,A9,0.284,0.044,0.042
5uM_stim,B9,0.682,0.057,0.052
10uM_stim,C9,0.729,0.062,0.055
20uM_stim,D9,0.736,0.043,0.037
50uM_stim,E9,0.699,0.047,0.041
100uM_stim,F9,0.67,0.047,0.041
mediaOnly,G9,0.815,0.048,0.041
mediaOnly,H9,0.811,0.053,0.046
DMSO_stim,A10,0.302,0.045,0.042
5uM_stim,B10,0.644,0.048,0.043
10uM_stim,C10,0.694,0.049,0.044
20uM_stim,D10,0.715,0.043,0.038
50uM_stim,E10,0.708,0.046,0.04
100uM_stim,F10,0.675,0.046,0.041
mediaOnly,G10,0.835,0.051,0.044
mediaOnly,H10,0.852,0.05,0.043
DMSO_stim,A11,0.282,0.043,0.041
5uM_stim,B11,0.631,0.049,0.044
10uM_stim,C11,0.708,0.051,0.045
20uM_stim,D11,0.715,0.042,0.037
50uM_stim,E11,0.679,0.049,0.044
100uM_stim,F11,0.658,0.047,0.042
mediaOnly,G11,0.839,0.052,0.046
mediaOnly,H11,0.793,0.051,0.045
DMSO_stim,A12,0.222,0.044,0.042
5uM_stim,B12,0.658,0.048,0.043
10uM_stim,C12,0.667,0.049,0.043
20uM_stim,D12,0.692,0.053,0.047
50uM_stim,E12,0.677,0.049,0.043
100uM_stim,F12,0.641,0.048,0.043
mediaOnly,G12,0.814,0.052,0.045
mediaOnly,H12,0.776,0.051,0.045