Name,Well,"Fluor:530/25,590/35"
DMSO_unstim,A1,99
5uMRo_unstim,B1,102
10uMRo_unstim,C1,100
20uMRo_unstim,D1,100
50uMRo_unstim,E1,100
100uMRo_unstim,F1,99
,G1,2
,H1,2
DMSO_unstim,A2,202
5uMRo_unstim,B2,165
10uMRo_unstim,C2,117
20uMRo_unstim,D2,105
50uMRo_unstim,E2,104
100uMRo_unstim,F2,104
,G2,2
,H2,2
DMSO_unstim,A3,239
5uMRo_unstim,B3,157
10uMRo_unstim,C3,124
20uMRo_unstim,D3,107
50uMRo_unstim,E3,106
100uMRo_unstim,F3,106
,G3,2
,H3,1
DMSO_unstim,A4,285
5uMRo_unstim,B4,174
10uMRo_unstim,C4,123
20uMRo_unstim,D4,103
50uMRo_unstim,E4,101
100uMRo_unstim,F4,103
,G4,2
,H4,2
DMSO_unstim,A5,286
5uMRo_unstim,B5,169
10uMRo_unstim,C5,124
20uMRo_unstim,D5,103
50uMRo_unstim,E5,102
100uMRo_unstim,F5,101
,G5,1
,H5,2
DMSO_unstim,A6,305
5uMRo_unstim,B6,184
10uMRo_unstim,C6,129
20uMRo_unstim,D6,103
50uMRo_unstim,E6,103
100uMRo_unstim,F6,104
,G6,3
,H6,3
DMSO_stim,A7,262
5uMRo_stim,B7,197
10uMRo_stim,C7,125
20uMRo_stim,D7,103
50uMRo_stim,E7,103
100uMRo_stim,F7,102
,G7,2
,H7,2
DMSO_stim,A8,290
5uMRo_stim,B8,193
10uMRo_stim,C8,125
20uMRo_stim,D8,106
50uMRo_stim,E8,104
100uMRo_stim,F8,104
,G8,1
,H8,2
DMSO_stim,A9,305
5uMRo_stim,B9,201
10uMRo_stim,C9,125
20uMRo_stim,D9,107
50uMRo_stim,E9,106
100uMRo_stim,F9,106
mediaOnly,G9,107
mediaOnly,H9,107
DMSO_stim,A10,286
5uMRo_stim,B10,195
10uMRo_stim,C10,125
20uMRo_stim,D10,105
50uMRo_stim,E10,105
100uMRo_stim,F10,104
mediaOnly,G10,115
mediaOnly,H10,117
DMSO_stim,A11,287
5uMRo_stim,B11,163
10uMRo_stim,C11,125
20uMRo_stim,D11,104
50uMRo_stim,E11,103
100uMRo_stim,F11,104
mediaOnly,G11,104
mediaOnly,H11,104
DMSO_stim,A12,253
5uMRo_stim,B12,183
10uMRo_stim,C12,124
20uMRo_stim,D12,104
50uMRo_stim,E12,104
100uMRo_stim,F12,103
mediaOnly,G12,116
mediaOnly,H12,103