Name,Well,"Fluor:360/40,460/40"
DMSO_us,A1,64
0.1uM_us,B1,75
0.5uM_us,C1,68
1uM_us,D1,61
2.5uM_us,E1,61
5uM_us,F1,65
N/A,G1,11
N/A,H1,11
DMSO_us,A2,71
0.1uM_us,B2,73
0.5uM_us,C2,61
1uM_us,D2,64
2.5uM_us,E2,73
5uM_us,F2,61
N/A,G2,11
N/A,H2,10
DMSO_us,A3,66
0.1uM_us,B3,78
0.5uM_us,C3,72
1uM_us,D3,76
2.5uM_us,E3,60
5uM_us,F3,57
N/A,G3,10
N/A,H3,11
DMSO_us,A4,82
0.1uM_us,B4,69
0.5uM_us,C4,58
1uM_us,D4,63
2.5uM_us,E4,64
5uM_us,F4,51
N/A,G4,10
N/A,H4,11
DMSO_us,A5,53
0.1uM_us,B5,63
0.5uM_us,C5,61
1uM_us,D5,57
2.5uM_us,E5,59
5uM_us,F5,51
N/A,G5,10
N/A,H5,11
DMSO_us,A6,52
0.1uM_us,B6,52
0.5uM_us,C6,58
1uM_us,D6,56
2.5uM_us,E6,47
5uM_us,F6,45
N/A,G6,12
N/A,H6,11
DMSO_st,A7,50
0.1uM_st,B7,49
0.5uM_st,C7,56
1uM_st,D7,57
2.5uM_st,E7,47
5uM_st,F7,41
N/A,G7,12
N/A,H7,11
DMSO_st,A8,47
0.1uM_st,B8,56
0.5uM_st,C8,62
1uM_st,D8,44
2.5uM_st,E8,48
5uM_st,F8,39
N/A,G8,12
N/A,H8,11
DMSO_st,A9,51
0.1uM_st,B9,51
0.5uM_st,C9,56
1uM_st,D9,57
2.5uM_st,E9,56
5uM_st,F9,48
MediaOnly,G9,13
MediaOnly,H9,13
DMSO_st,A10,53
0.1uM_st,B10,51
0.5uM_st,C10,50
1uM_st,D10,50
2.5uM_st,E10,51
5uM_st,F10,44
MediaOnly,G10,13
MediaOnly,H10,14
DMSO_st,A11,44
0.1uM_st,B11,50
0.5uM_st,C11,47
1uM_st,D11,47
2.5uM_st,E11,47
5uM_st,F11,37
MediaOnly,G11,14
MediaOnly,H11,13
DMSO_st,A12,48
0.1uM_st,B12,49
0.5uM_st,C12,49
1uM_st,D12,53
2.5uM_st,E12,49
5uM_st,F12,47
MediaOnly,G12,14
MediaOnly,H12,12