Sample,Well,450,540,570,1 hour,2 hour
DMSO_1_us,A1,0.156,0.045,0.043,314,569
0.5uM_1_us,B1,0.145,0.043,0.042,330,598
1uM_1_us,C1,0.177,0.044,0.043,295,551
2.5uM_1_us,D1,0.263,0.045,0.043,255,449
5uM_1_us,E1,0.478,0.048,0.044,198,338
10uM_1_us,F1,0.65,0.051,0.046,129,168
std1,G1,0.206,0.045,0.044,104,100
std1,H1,0.211,0.046,0.045,97,100
DMSO_1_us,A2,0.146,0.043,0.042,326,586
0.5uM_1_us,B2,0.137,0.043,0.042,345,629
1uM_1_us,C2,0.171,0.044,0.043,293,550
2.5uM_1_us,D2,0.269,0.046,0.044,261,453
5uM_1_us,E2,0.464,0.048,0.044,207,346
10uM_1_us,F2,0.617,0.049,0.044,129,167
std2,G2,0.317,0.046,0.044,106,102
std2,H2,0.271,0.045,0.043,114,113
DMSO_1_us,A3,0.131,0.043,0.043,361,647
0.5uM_1_us,B3,0.145,0.043,0.042,313,598
1uM_1_us,C3,0.18,0.05,0.049,281,517
2.5uM_1_us,D3,0.28,0.045,0.043,241,423
5uM_1_us,E3,0.514,0.048,0.044,185,303
10uM_1_us,F3,0.661,0.05,0.045,128,161
std3,G3,0.466,0.048,0.044,106,100
std3,H3,0.425,0.047,0.044,105,107
DMSO_5_us,A4,0.366,0.047,0.044,357,627
0.5uM_5_us,B4,0.448,0.047,0.044,314,548
1uM_5_us,C4,0.517,0.051,0.047,288,536
2.5uM_5_us,D4,0.682,0.051,0.045,242,412
5uM_5_us,E4,0.782,0.052,0.046,195,312
10uM_5_us,F4,0.88,0.054,0.047,128,159
std4,G4,0.613,0.051,0.046,105,100
std4,H4,0.546,0.049,0.044,109,108
DMSO_5_us,A5,0.37,0.049,0.046,346,639
0.5uM_5_us,B5,0.498,0.047,0.043,305,512
1uM_5_us,C5,0.492,0.048,0.045,293,516
2.5uM_5_us,D5,0.647,0.049,0.044,250,417
5uM_5_us,E5,0.896,0.053,0.046,191,304
10uM_5_us,F5,0.898,0.053,0.046,120,142
std5,G5,0.784,0.052,0.046,112,103
std5,H5,0.797,0.052,0.045,107,103
DMSO_5_us,A6,0.382,0.047,0.044,334,620
0.5uM_5_us,B6,0.469,0.047,0.044,270,521
1uM_5_us,C6,0.529,0.048,0.044,274,467
2.5uM_5_us,D6,0.643,0.05,0.045,241,387
5uM_5_us,E6,0.783,0.052,0.046,197,295
10uM_5_us,F6,0.823,0.053,0.046,121,146
std6,G6,0.885,0.053,0.046,109,101
std6,H6,0.797,0.052,0.046,117,111
DMSO_1_stim,A7,0.104,0.042,0.042,364,658
0.5uM_1_stim,B7,0.135,0.042,0.042,284,521
1uM_1_stim,C7,0.255,0.045,0.043,213,388
2.5uM_1_stim,D7,0.294,0.045,0.043,234,394
5uM_1_stim,E7,0.49,0.047,0.044,194,289
10uM_1_stim,F7,0.691,0.051,0.045,103,107
std7,G7,1.018,0.055,0.046,106,96
std7,H7,0.887,0.054,0.046,109,103
DMSO_1_stim,A8,0.1,0.043,0.042,406,721
0.5uM_1_stim,B8,0.119,0.043,0.042,340,632
1uM_1_stim,C8,0.192,0.044,0.042,251,461
2.5uM_1_stim,D8,0.241,0.044,0.043,248,448
5uM_1_stim,E8,0.463,0.048,0.044,196,298
10uM_1_stim,F8,0.624,0.05,0.045,106,115
std8,G8,1.002,0.054,0.046,102,93
std8,H8,0.883,0.053,0.046,106,99
DMSO_1_stim,A9,0.097,0.043,0.042,389,679
0.5uM_1_stim,B9,0.133,0.046,0.045,349,640
1uM_1_stim,C9,0.197,0.044,0.042,264,468
2.5uM_1_stim,D9,0.249,0.044,0.042,250,442
5uM_1_stim,E9,0.528,0.048,0.044,182,276
10uM_1_stim,F9,0.701,0.05,0.044,108,117
nsb,G9,0.046,0.042,0.042,97,87
nsb,H9,0.047,0.042,0.042,93,84
DMSO_5_stim,A10,0.31,0.049,0.047,379,677
0.5uM_5_stim,B10,0.371,0.046,0.043,326,596
1uM_5_stim,C10,0.49,0.048,0.044,283,501
2.5uM_5_stim,D10,0.635,0.05,0.044,268,447
5uM_5_stim,E10,0.843,0.053,0.046,189,279
10uM_5_stim,F10,0.897,0.054,0.046,107,117
mediaOnly,G10,1.045,0.057,0.048,96,77
mediaOnly,H10,0.963,0.055,0.047,95,83
DMSO_5_stim,A11,0.293,0.045,0.043,402,702
0.5uM_5_stim,B11,0.356,0.046,0.044,350,647
1uM_5_stim,C11,0.529,0.048,0.043,248,438
2.5uM_5_stim,D11,0.671,0.051,0.045,243,419
5uM_5_stim,E11,0.855,0.053,0.046,186,276
10uM_5_stim,F11,0.868,0.053,0.045,109,119
mediaOnly,G11,1.047,0.057,0.047,87,77
mediaOnly,H11,0.983,0.055,0.047,93,85
DMSO_5_stim,A12,0.277,0.046,0.044,403,682
0.5uM_5_stim,B12,0.324,0.045,0.043,369,630
1uM_5_stim,C12,0.55,0.05,0.046,298,486
2.5uM_5_stim,D12,0.601,0.049,0.044,283,448
5uM_5_stim,E12,0.794,0.052,0.046,212,286
10uM_5_stim,F12,0.862,0.053,0.046,110,120
mediaOnly,G12,1.09,0.056,0.046,90,77
mediaOnly,H12,0.962,0.055,0.047,92,82