Sample,Well,Read:450,Read:540,Read:570,1hr,24hr
DMSO_us,A1,0.566,0.049,0.044,420,2956
0.1uM_us,B1,0.558,0.048,0.044,395,2954
1uM_us,C1,0.558,0.049,0.045,483,2997
2.5uM_us,D1,0.604,0.049,0.045,415,2684
5uM_us,E1,0.65,0.051,0.045,413,2662
10uM_us,F1,0.733,0.051,0.045,414,2176
std1,G1,0.243,0.045,0.044,108,155
std1,H1,0.244,0.046,0.044,1,1
DMSO_us,A2,0.474,0.047,0.044,432,3094
0.1uM_us,B2,0.469,0.047,0.044,485,3117
1uM_us,C2,0.564,0.049,0.045,466,3139
2.5uM_us,D2,0.583,0.049,0.044,460,2782
5uM_us,E2,0.574,0.052,0.046,469,2799
10uM_us,F2,0.69,0.051,0.045,477,2278
std2,G2,0.397,0.048,0.045,112,172
std2,H2,0.442,0.048,0.045,2,0
DMSO_us,A3,0.557,0.049,0.045,434,3079
0.1uM_us,B3,0.497,0.047,0.044,439,3127
1uM_us,C3,0.565,0.049,0.045,423,3124
2.5uM_us,D3,0.573,0.048,0.044,438,2805
5uM_us,E3,0.643,0.05,0.045,442,2726
10uM_us,F3,0.709,0.051,0.045,486,2261
std3,G3,0.606,0.05,0.045,102,163
std3,H3,0.926,0.177,0.171,3,1
DMSO_us,A4,0.464,0.048,0.044,434,3142
0.1uM_us,B4,0.533,0.048,0.044,443,3166
1uM_us,C4,0.573,0.049,0.045,439,3146
2.5uM_us,D4,0.579,0.049,0.044,399,2793
5uM_us,E4,0.556,0.05,0.045,450,2726
10uM_us,F4,0.685,0.051,0.045,423,2282
std4,G4,0.907,0.054,0.047,115,166
std4,H4,1.069,0.056,0.047,2,2
DMSO_us,A5,0.491,0.048,0.044,448,3174
0.1uM_us,B5,0.506,0.048,0.044,430,3180
1uM_us,C5,0.544,0.048,0.044,417,3099
2.5uM_us,D5,0.55,0.049,0.045,384,2794
5uM_us,E5,0.638,0.05,0.045,423,2695
10uM_us,F5,0.701,0.051,0.045,436,2269
std5,G5,1.121,0.056,0.047,95,160
std5,H5,1.23,0.059,0.048,112,175
DMSO_us,A6,0.472,0.048,0.045,380,3121
0.1uM_us,B6,0.461,0.048,0.044,412,3161
1uM_us,C6,0.532,0.049,0.045,381,3034
2.5uM_us,D6,0.61,0.05,0.045,384,2790
5uM_us,E6,0.621,0.05,0.046,413,2650
10uM_us,F6,0.713,0.051,0.045,414,2282
std6,G6,1.225,0.059,0.049,113,161
std6,H6,1.257,0.059,0.048,113,165
DMSO_stim,A7,0.379,0.171,0.168,379,3106
0.1uM_stim,B7,0.165,0.043,0.042,422,3161
1uM_stim,C7,0.159,0.043,0.042,451,3082
2.5uM_stim,D7,0.188,0.043,0.042,479,2881
5uM_stim,E7,0.212,0.044,0.043,484,2638
10uM_stim,F7,0.328,0.045,0.043,476,2300
std7,G7,1.431,0.061,0.048,104,186
std7,H7,1.327,0.059,0.047,111,161
DMSO_stim,A8,0.156,0.043,0.042,413,3166
0.1uM_stim,B8,0.181,0.043,0.042,394,3150
1uM_stim,C8,0.177,0.044,0.043,446,3091
2.5uM_stim,D8,0.201,0.044,0.042,418,2895
5uM_stim,E8,0.242,0.045,0.044,391,2620
10uM_stim,F8,0.363,0.046,0.044,391,2295
nsb,G8,0.045,0.042,0.042,97,163
nsb,H8,0.045,0.042,0.042,110,156
DMSO_stim,A9,0.173,0.044,0.043,433,3147
0.1uM_stim,B9,0.178,0.044,0.043,389,3138
1uM_stim,C9,0.173,0.044,0.043,465,3004
2.5uM_stim,D9,0.218,0.044,0.043,422,2924
5uM_stim,E9,0.24,0.045,0.044,412,2614
10uM_stim,F9,0.373,0.046,0.043,388,2321
mediaOnly,G9,1.067,0.056,0.048,104,145
mediaOnly,H9,1.083,0.056,0.047,100,155
DMSO_stim,A10,0.161,0.044,0.043,426,3103
0.1uM_stim,B10,0.207,0.043,0.042,366,3164
1uM_stim,C10,0.181,0.044,0.043,426,3003
2.5uM_stim,D10,0.203,0.044,0.043,447,2965
5uM_stim,E10,0.229,0.045,0.044,429,2521
10uM_stim,F10,0.376,0.046,0.044,434,2365
mediaOnly,G10,1.055,0.056,0.047,102,153
mediaOnly,H10,1.1,0.056,0.047,93,156
DMSO_stim,A11,0.168,0.044,0.043,463,3098
0.1uM_stim,B11,0.657,0.462,0.457,376,3089
1uM_stim,C11,0.192,0.044,0.043,341,2873
2.5uM_stim,D11,0.211,0.044,0.043,381,2927
5uM_stim,E11,0.23,0.045,0.043,419,2452
10uM_stim,F11,0.318,0.045,0.043,446,2397
mediaOnly,G11,1.042,0.056,0.048,103,141
mediaOnly,H11,1.131,0.057,0.047,94,147
DMSO_stim,A12,0.185,0.044,0.043,386,3043
0.1uM_stim,B12,0.198,0.044,0.043,297,2795
1uM_stim,C12,0.182,0.044,0.043,388,2944
2.5uM_stim,D12,0.202,0.044,0.043,375,2894
5uM_stim,E12,0.26,0.046,0.045,381,2375
10uM_stim,F12,0.374,0.047,0.044,383,2341
mediaOnly,G12,1.065,0.065,0.062,96,143
mediaOnly,H12,1.098,0.056,0.047,92,147