Metabolite,KEGG,DM_0_1,DM_0_2,DM_0_3,Ro_0_1,Ro_0_2,Ro_0_3,DM_4_1,DM_4_2,DM_4_3,Ro_4_1,Ro_4_2,Ro_4_3,DM_8_1,DM_8_2,DM_8_3,Ro_8_1,Ro_8_2,Ro_8_3,DM_12_1,DM_12_2,DM_12_3,Ro_12_1,Ro_12_2,Ro_12_3,DM_16_1,DM_16_2,DM_16_3,Ro_16_1,Ro_16_2,Ro_16_3,DM_24_1,DM_24_2,DM_24_3,Ro_24_1,Ro_24_2,Ro_24_3
L-alanine,C00041,3331336,2128155,4036941,3500319,2471290,3635959,3329362,2634267,2788195,3272465,1805048,3761407,7379698,2965683,3352351,2655363,3135012,3079281,2622395,1921659,2412187,384823,1846961,1644700,3772058,3223003,2959723,2805294,1403809,1192757,2410049,2114815,2958686,2351622,1729011,2022726
L-arginine,C00062,2911888,3059300,3711597,3061312,3585217,4061912,1951055,2507230,3424810,3448611,3899551,3407989,3371285,3211920,2619064,2345749,2984953,2560977,3620914,3857215,3508002,2171880,4951314,4770944,4628882,4089701,3916967,5802334,5671180,5341906,5765890,5368420,5404480,5965056,5950876,4743060
L-asparagine,C00152,83774,99767,90500,110066,98264,118538,101661,113454,100632,133097,86453,156993,174461,116564,107096,111358,143943,125239,108836,72178,75021,14736,90252,95950,151970,117659,102574,156493,109347,84558,107967,74216,150553,143551,91774,120913
L-aspartate,C00049,13144130,13189920,15877420,11482910,13258160,15789290,14266920,16283300,18812050,14989040,14051620,14876560,19795740,13040540,15226570,8582141,11782540,12281180,18003840,12537030,14479690,3227295,9988132,12507410,16210600,16191760,15290040,10227670,9845228,8289150,13392720,12102560,16370780,11344600,10074270,10270860
L-cysteine,C00097,45028,85121,168934,1,172811,164821,135805,141852,151055,133309,152993,134493,189487,169725,134788,49104,138847,154998,1,133101,157940,36718,120794,183804,282720,234955,149894,308019,323091,198380,238804,257469,9402,298203,290756,273746
L-glutamate,C00025,8476671,6824990,10016720,8207316,7839342,9627241,10007750,8108182,9322327,9646245,6627442,9430805,15777820,8751252,10526230,7547456,7528044,10552750,7356086,6160146,6824768,1487441,5516304,6385018,10584980,9690496,8631906,10606540,7745030,6371756,7604670,6558756,10421190,10182150,7820476,8861457
L-glutamine,C00064,4884050,3134085,4632756,5056408,3356777,5051002,5059880,4842942,5611188,6657566,4844242,8197162,9035895,3143541,4544498,5348766,6112862,6724788,3543812,2680760,2973767,1033650,4124857,3835834,6419122,6888654,5541496,9685220,6078328,4332000,4794622,5045744,5517528,6447226,5289582,5734004
glycine,C00037,290342,106704,1,109450,189800,436176,175172,243534,104619,127184,214291,412043,383250,1,104049,107298,1,120796,125353,83122,261603,1,202965,208312,347443,1,315719,188574,103676,120422,151406,121868,261237,293138,1,279189
L-histidine,C00135,768186,530595,891041,738425,828746,945287,880238,1071656,980904,980886,919087,1165882,1272523,700941,786451,530181,868695,935837,655542,526572,639030,201750,664815,575743,997942,990091,1543864,1128907,966629,679355,997277,778375,1217977,1044737,731047,866433
L-leucine/isoleucine,C00123,20951260,22838960,28911310,20650280,24321610,25675580,26559630,28498340,27309610,31583000,27464310,36570370,42772720,25465700,22657350,18527350,23550570,24138320,23416730,19457960,21621560,8370068,25211670,23606950,32301120,28943760,35500040,36001360,33558900,24146120,33423180,30827140,38506110,37355750,32818980,30209960
L-lysine,C00047,35354,42844,48715,37881,51034,68558,36958,47661,44785,41155,58059,54630,60985,49027,36512,39695,39066,44557,51420,47604,39975,27957,55918,54787,53383,52801,48993,70562,71281,70002,61955,45175,76070,68127,89143,79736
L-methionine,C00073,1371293,1956265,2447546,1277786,2065997,2112172,2273708,2719004,2616971,3039675,2478484,3718494,3992719,2310370,1961178,1661354,2075139,2178894,1877645,1467002,1461516,417752,2071510,2043871,2831995,2508134,2899915,3369010,3184315,2140487,2982537,2458968,3450553,3429815,3189895,2770285
L-phenylalanine,C00079,421347,495613,480237,365551,479085,538479,491790,526305,425611,520177,545404,618674,556465,421145,409246,299840,388417,451929,510795,406433,422871,169373,463399,536989,556192,532031,693908,638558,577609,600981,769216,638192,541011,718552,820434,624508
L-proline,C00148,17298960,20086930,21910330,13639510,21562650,21586730,18711380,20565010,21954780,18617380,17132950,21407030,35449260,23496790,19460870,15487050,21177400,21776580,20502790,19331270,19084250,5335850,19717790,21105930,30096420,25864540,28364810,29050730,29191230,23251100,32619850,26239730,35864840,39817710,31225060,29379160
L-serine,C00065,449097,270669,650036,508252,354214,508627,546248,461353,480899,631765,359290,772023,1180465,493725,582499,566505,612723,629670,477359,256605,354678,70182,369426,293803,631709,568539,451910,731704,306465,255611,389787,332275,561206,476119,302217,423774
L-threonine,C00188,1194731,1115043,1268632,1370388,1302581,1623979,1232953,1327932,1292742,1571725,1036302,1954599,2798392,1406472,1551878,1577796,1621606,1785254,1403215,1270600,875953,361062,1462250,1281159,1611386,1694117,1760142,2485788,1718224,1359999,1735725,1490502,2232473,2042268,1762292,1921883
L-tryptophan,C00078,363792,399816,503527,358136,443122,480539,413757,480120,518082,434940,611292,521525,556699,390861,366116,252023,396812,448951,422662,468309,403021,186257,496052,476344,466489,466146,950726,566831,608802,570523,703792,619677,717496,790537,796180,601001
L-tyrosine,C00082,2657076,2900411,3912374,3091246,3544715,3524720,3884921,4129400,4521116,4824142,4065117,5539162,6283202,3459176,3353740,2896097,3732070,3500274,3303247,2577343,3019653,763856,3552246,3510388,4276084,3878161,5659154,4984392,4677735,3120661,4279090,3989273,5052838,4809432,4131688,3976735
L-valine,C00183,10841020,12616760,16676020,11095050,13555910,13772040,14347930,15387170,15553360,16791650,15225840,19273310,22103460,13987600,12033500,10474700,12811350,13248110,12642310,11085050,11728770,5025454,13772270,13443180,16802220,15581400,31939370,19569200,18157570,13736090,18647230,16850970,20621930,20185820,18067170,16414510
L-cystine,C00491,112256,131452,140138,108507,148193,122180,86023,105047,101238,847145,993921,864715,61640,75162,82116,1475610,1296677,1322541,74022,86112,55673,521985,1133945,1200778,130060,102519,103739,1562896,1213502,1043642,206626,190052,269112,1153171,1092441,1043398
ATP,C00002,545028,514106,514373,506000,374109,458394,487035,435099,387023,440880,471040,527246,513003,371686,377431,311912,451783,434302,304313,391869,325298,202648,392529,503926,559540,381410,540471,435734,310511,406925,556482,360263,452086,357875,432297,435740
ADP,C00008,119325,224149,201483,107889,141510,187994,137103,164432,135995,146616,183597,289547,205799,224640,217405,202553,249736,294691,125496,166287,118761,65993,137635,170320,235538,151435,148081,207166,190576,149720,220900,111091,187755,152425,185420,190471
AMP,C00020,364195,439282,496181,228644,347754,411420,327253,292239,283922,426514,387343,651591,687241,567919,607333,506227,634586,712176,394354,365553,445156,218611,488593,463588,318109,455565,430962,439745,702931,411256,337696,273000,295670,454236,345233,493090
dAMP,C00360,203277,255129,259227,180351,279800,240405,262101,263303,308733,178472,275488,319913,339558,282269,251608,194850,216579,279330,227725,174053,168379,50531,242447,245626,347970,347070,254536,301171,279336,223301,334387,209677,343777,346268,269711,283389
Adenosine,C00212,11328,25707,20990,21254,30203,38779,20802,30701,24616,38243,40128,34160,23963,27739,34023,14135,28921,34425,25897,24675,25942,15890,38352,30012,25587,48332,46665,65423,55273,59168,46762,37089,48138,63015,78657,45228
GDP,C00035,13655,22119,13305,4424,4223,12045,10538,10767,6822,10913,12093,9668,8511,12780,4693,9136,9550,15423,8626,17698,3786,3572,12181,14743,9979,10302,12521,10290,9974,20313,16896,8610,11812,15071,30879,19341
GMP,C00144,36788,58948,48400,15948,23428,50999,21522,35339,28174,44675,61374,73941,60452,61738,55957,80854,41004,96502,43439,37696,42320,38133,50009,55722,13245,33304,24995,51347,92859,67874,14613,10801,45806,30735,64902,94565
Guanine,C00242,63335,66780,81563,82216,144914,160261,92686,93776,114659,64455,91909,106178,143108,78987,99330,57101,106179,112334,80813,60041,116962,31189,134321,133969,78962,120095,220900,152364,121705,75553,116659,89235,96858,131749,103549,99257
CTP,C00063,34962,44632,41253,31441,25177,24197,28464,25738,23317,26190,21686,26650,33595,20489,19566,17393,22661,26390,22502,23869,21099,12023,25460,30331,26241,24537,32403,22440,16834,21662,36757,24971,31839,23675,32646,29690
CMP,C00055,78409,59434,77982,67463,51874,77247,66366,85322,69217,81909,59097,92969,109915,78560,77369,72422,66040,90907,62700,51023,58272,13379,56749,56454,82638,47233,62265,72314,58992,47256,85623,60309,79242,63918,51181,67965
Cytidine,C00475,341700,660822,557138,196335,713324,961322,622240,799719,689711,723608,739005,1809648,1409199,1085002,925509,918607,853150,1155391,543145,443054,336065,86360,391895,341725,868324,812692,307557,787264,589950,498241,640489,407085,868818,539327,597622,624821
Cytosine,C00380,114930,101619,113201,116646,108227,108018,106293,110817,110364,134256,95278,122598,141792,72356,88516,76818,101823,103414,65511,77300,105542,40363,105096,108903,90660,76524,77081,87955,84627,59270,79856,75758,80737,82723,64130,62010
dTMP,C00364,8664,4088,7926,5932,5767,13343,12337,12713,9080,8922,8488,10841,11437,3965,8896,3240,6172,5736,8368,8304,9604,1,7609,8590,11321,11350,7865,6022,10712,6905,8630,3585,7319,4596,13312,7315
UTP,C00075,172705,193041,183356,147786,125871,128187,106708,128215,107417,122660,106659,159428,148464,103839,94763,75078,107348,119571,101361,112434,108705,55076,114867,167914,131192,114489,154108,97346,94069,115033,170187,136760,152570,119009,147730,134736
UDP,C00015,151862,217561,180554,101384,119949,113476,96854,106189,97436,96055,112641,104858,136650,106092,89508,70860,115892,120641,101802,139580,105591,55156,109414,157477,106706,102049,148307,88529,107410,123529,149876,124003,143568,122568,158311,142325
IMP,C00130,315599,321327,350706,89167,193752,176072,114858,73730,95680,138998,112800,210010,498198,430287,387700,265363,436794,346812,255904,236950,193650,38906,179062,195767,93235,80888,469756,196399,166597,129737,92121,50974,102413,137082,110827,176841
Inosine,C00294,180342,175293,195736,205371,300066,327461,158977,187500,211733,203606,147922,162724,467205,137575,195696,86533,184095,198712,192317,130489,249927,17139,206350,185182,188516,287112,1682418,220433,185075,105463,161879,151172,178711,164618,166232,169358
Hypoxanthine,C00262,1715608,1608311,1910398,1636309,2830716,2918763,973967,1055598,1156635,1008842,796385,1113819,4649426,1677949,2164543,804002,1816473,2117956,1919108,1568370,2508680,248543,2025962,2050174,1179842,1381808,9919317,1380555,1326930,648595,1126005,1198728,1380816,1388013,1228209,1352931
Xanthine,C00385,96592,111671,119155,81954,80620,87730,92733,109979,103254,132526,114614,151780,134114,97838,89343,120992,106029,104548,79594,108603,87371,60729,109227,128562,122901,150612,128510,198792,194673,164527,145487,121434,127130,146745,156517,153592
5-Hydroxyisourate,C11821,81517,32245,64970,55317,46457,77535,73334,67007,94332,122041,86222,115639,161367,30059,49689,40766,70825,70992,44468,39374,33592,1880,54177,47694,93121,90905,72188,104198,66300,48272,65202,40299,95252,85815,56628,67476
Urate,C00366,18821,8129,16831,20551,20861,23321,16085,11444,18926,17224,20689,15491,24365,17818,22064,34495,16893,16830,6379,17099,17766,4357,16536,12117,18250,21243,46005,26264,24608,15328,33541,26230,18415,14849,25528,14941
5-Phosphoribosyl-N-formylglycinamide,C04376,23638,28857,30048,20037,26456,23098,36485,21936,24287,63010,58665,61453,54619,61751,63938,59688,79249,82429,34847,23263,14454,4939,32423,16747,19432,11418,3782,49273,31990,28235,36951,32457,37905,32893,27563,34931
5-6-Dihydrothymine,C00906,699235,503875,649636,410041,533370,612006,519555,562675,627381,563873,560211,556033,691314,452502,412498,290381,332722,332104,421196,465290,435499,125033,365741,477184,680367,594908,780593,476570,535409,490400,1216444,867150,1140822,997206,962842,851054
Pyridoxal,C00250,20996,21214,25852,32916,17227,22542,20692,16671,21062,19553,22489,13288,27363,14569,12617,12025,18916,14006,28365,18108,15655,2204,21343,17686,19574,25610,14482,17148,25381,20997,29718,30597,29624,27523,33110,31705
4-Pyridoxate,C00847,2975637,3286500,3242688,2425817,3228684,3195348,2630161,2653731,3370893,2775740,2444562,2631134,2823217,3059399,2499624,1721591,2932319,2914889,2555257,2379673,2711915,693519,2546706,3155274,2799612,2705046,2686925,2973434,3419020,2674866,4505770,4402050,4846932,4960311,3808383,4271554
Pyridoxamine 5-phosphate,C00647,16776,43716,61385,17383,48055,39381,21053,50709,53204,29508,60007,53781,60755,45783,36925,25911,46234,51620,47196,60170,26378,22823,45288,45405,40955,64354,45105,50779,64444,57570,67943,54977,72918,88144,78089,60457
Nicotinamide,C00153,2289196,2787562,2877210,2330824,2340845,2549436,1913474,2279162,2549218,2438986,2413314,2615592,2861814,2441736,2304376,1761179,2148060,2410328,2176154,2366487,2287881,1168115,2607758,2699037,2174517,2379524,4791056,2226132,2649638,2708938,3837257,3247866,3075011,3931698,4108087,3106878
Adenylosuccinic acid,C03794,7663,7835,6435,2034,1723,3023,5212,1040,505,2729,2772,7845,5862,4365,2433,3177,6473,5561,2676,3950,3470,900,900,4629,1385,1423,2005,1492,1613,1587,1281,1897,2576,2661,2240,2992
UDP-glucose,C00029,824251,991964,952237,796396,723710,867367,515206,577620,523400,486869,484669,481319,760549,624884,579304,403360,590629,534912,612261,707502,612512,185707,536847,691055,832532,698914,776540,573191,573378,569900,1281325,768080,1053767,717247,879295,854732
NADP+,C00006,6622,22815,22387,5988,17009,16887,3770,17992,15367,15821,16140,21200,16224,22339,17579,10753,18410,14846,14629,6152,12922,5635,12889,15326,14230,18037,6079,16364,15371,11790,17478,16965,10322,22484,15968,21017
NAD+,C00003,447622,454542,632799,424629,470156,485766,535923,662323,546768,626416,414678,698698,589138,394739,569967,496127,532958,585388,430010,346712,377116,110715,318773,445667,497925,492528,439782,629100,493710,284953,434319,359813,388006,498172,422473,533368
NADH,C00004,39886,82653,93803,22089,61732,74596,35321,73003,67942,57486,75951,92128,64089,59622,62347,53512,63709,68693,52329,40358,39921,19267,38397,46684,60876,66380,32569,58601,82342,57411,79483,49534,74560,90511,80335,82654
Phosphate,C00009,40059060,54091600,46460830,43867540,51390320,50501310,35498350,48632300,45234530,40713630,43163960,36871370,37136340,39808040,46564600,40948740,50300740,39811750,53926290,55959170,51560080,55120020,50398100,50475890,46236060,46968130,49912560,40717000,49748680,61274370,51090900,62898910,55096800,52459010,60274420,61490960
Diphosphate,C00013,2765258,3157622,2397027,2407639,2409382,1876999,2095034,1612684,2521887,2018504,2275393,1195964,1507784,2245635,2104818,1711060,1938181,1881478,3069235,2961867,3171595,5546828,3171245,3449774,1992452,2317316,3767932,2150363,2974436,3048893,2702319,3880431,2721966,3712111,4049374,3231899
D-Glucose,C00031,1166664,1756744,1535179,1180076,1465549,2104493,1307755,1824024,1917932,1679395,2135008,3042333,1753066,1721920,1446354,1118257,1397521,1634150,1389544,999147,932873,828267,1344900,1475792,1703937,1743148,2328802,2309992,2587137,2196212,2227351,1762703,3038949,2051052,2465492,2301042
D-Glucose 6/1-phosphate/Fructose 6-phosphate,C02965,629615,722951,811846,928861,1082100,1231567,1066942,1034579,1157305,1638260,1784872,1995703,1034800,895941,1049350,876993,1152532,1201898,937939,807103,788991,359254,1492324,1260243,1272483,1451327,1479528,1708207,1795567,1703299,1373897,1216764,1523544,1710354,1370865,1695286
D-Fructose 1-6-bisphosphate,C00354,225262,334143,377621,338767,316091,399387,462698,571819,707163,690660,853427,1104785,274362,181685,180223,122346,210462,201208,222740,326606,218291,129729,386521,383786,931660,1020873,1383357,666186,705036,693679,995083,743522,783140,679364,1052833,1176644
D-Glyceraldehyde 3-phosphate/Glycerone phosphate,C00118,100021,148832,175341,230546,249026,271424,371014,458992,604998,452883,427496,505557,221064,237154,268063,100934,154760,213207,291135,212238,266284,115162,321618,262240,783993,773279,708967,438690,550692,592378,508712,559747,640815,553438,457645,697379
1-3-Bisphosphoglycerate,C00236,19947,35602,32327,20274,17384,14323,19437,23196,20982,11191,17539,19747,22534,10683,7675,7109,15408,14957,12575,18055,18226,23624,16052,20734,21469,15704,29634,15865,14842,16713,15831,23941,21692,18416,21513,23736
2/3-Phospho-D-glycerate,C00631,622924,854887,920046,1301982,1013642,1333448,1431163,1627538,1428406,2032952,1667185,1649898,956986,1068724,932805,724355,948720,949077,1016260,918350,1140314,639483,1531243,1150520,1524566,1748976,1890046,1847262,1953420,2208411,1633016,1935447,1551782,2052866,2180396,1890704
Phosphoenolpyruvate,C00074,31722,45795,50112,44450,45907,61629,45265,64206,48107,63305,58220,64156,53118,47413,52401,44974,49061,56760,41617,53989,57515,87041,72835,68643,59533,53691,77976,43079,57216,69978,45205,47560,37109,55552,62597,60166
Pyruvate,C00022,707625,624346,754791,388871,452545,489380,374377,413779,417536,351201,363482,282911,1053926,808586,570210,484092,770168,759182,568241,680548,465629,317788,453049,779358,329287,350914,601350,423296,471202,327436,484140,413675,492762,453160,535242,345242
Lactate,C01432,6828266,6280586,8961041,8324678,9522745,10873880,6180226,7489986,7468718,7838624,7270872,10522950,17472270,9535033,7721836,5807712,10293720,9122744,8401188,6590942,6573532,1558662,8526803,8222690,6804448,7881574,19728140,8030278,7582762,5764264,6237422,6177550,7220910,7692740,6568750,7782110
Mannitol,C00392,376438,447267,368047,264858,430179,486719,346838,382353,396778,452390,423553,640706,428171,329497,245051,309876,447613,414813,270548,278095,248498,107434,289411,342247,370281,341463,426684,541787,456042,483104,300284,324371,423890,430773,459940,471039
D-Ribose,C00121,37239,39310,59567,50277,66299,69375,80385,95787,67114,86543,63997,82859,98701,48064,58233,65385,63534,63102,53050,52461,51164,23171,36938,35933,75701,80236,53285,54976,59969,59749,64767,59504,83933,63855,72094,50141
D-Arabitol,C01904,87705,117088,80326,26834,119701,141778,76898,106282,104064,153206,168873,240796,130770,97256,94332,95358,164365,149200,67187,80761,71499,25286,96906,116290,120751,103471,101493,120433,126875,134677,188020,129114,265382,146621,150199,143782
Citrate,C00158,5052918,5676300,6060450,4736685,3178174,4283812,5210852,4889982,5337022,8914531,8759403,7435774,4743412,4449184,4607038,7370646,8812240,8464316,4823066,4266286,4229132,7570108,9988517,11334220,6990096,6152518,10223330,17091490,18008130,18259520,7272946,7214902,6796532,14370210,15262810,13186270
2-Oxoglutarate,C00026,407155,421761,403962,238222,265146,281452,204004,170913,154210,143930,118816,119136,325281,446218,375806,414556,649913,652952,235297,364075,272677,291795,337491,485285,250044,199169,301628,338328,329028,468335,277540,198970,222932,414850,523624,403325
2-Oxoglutaramate,C00940,9083,11682,8710,5871,5855,14258,5888,7391,5966,10964,16346,22040,26911,5412,15184,9837,14769,14194,5795,4774,4680,2153,5483,5089,10856,5696,5507,11364,5730,4697,4262,11706,5747,4894,5037,18893
Succinate,C00042,444338,507465,461775,287362,313818,297203,218822,206905,264513,361843,363278,389836,391086,424405,438410,490062,746604,786585,543470,441536,537807,395000,1071782,1082393,252528,256483,829418,929955,1218452,1281769,335203,379145,340453,1618552,1508647,1662181
Fumarate,C00122,431468,402815,397978,294466,354911,354853,402237,421376,458861,524437,456570,482625,612698,517164,438477,335354,558821,523033,445784,423640,538305,170336,364481,450465,518643,492114,655370,399772,424376,476686,621488,667130,729625,576266,562389,493078
Malate,C00149,11124460,11004040,11507760,6671384,9730125,10463780,10051770,11281620,13017930,10857990,13085990,11678980,13289750,13290070,11439620,7206322,12838200,11392850,12575100,13245740,13644480,5276278,10723150,12926000,14374490,13780060,17477280,7993814,11680630,13518220,16932290,16390860,17587410,16672780,17340550,14810640
Oxaloacetate,C00036,71346,104966,66703,66757,104068,67966,70078,69637,59823,58461,79033,71788,74609,86583,85701,55756,79265,53145,64339,92520,85294,91326,75015,92695,82471,66321,91503,81415,88815,80684,96212,85753,87845,90811,109700,89869
